ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (mb),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.7588,-0.2579,12.1559,-1.0581,0.2815,9.7487,1.0213,0.6397,-3.2724,-0.0557,0.3054,-0.4838,0.9546,23.74,-0.83,-48.69,271.46,-1.64,6.19,2.0,985.82,54.855,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,32506,2020-04-13 19:18:41:917
-0.9369,1.1525,8.144,-1.2722,0.3275,9.7216,-0.6294,-0.7244,2.81,0.1353,-0.0287,0.0291,0.9546,23.18,-1.91,-47.84,264.46,-0.48,7.81,2.0,985.78,48.893,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,33006,2020-04-13 19:18:42:417
4.0E-4,-0.1191,7.1647,-0.8152,-0.0619,9.7759,-0.6922,-0.3125,1.7632,0.1871,-0.044,-0.4473,0.9546,21.29,0.77,-48.63,269.5,1.29,4.98,2.0,985.78,60.147,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,33505,2020-04-13 19:18:42:916
-1.8977,0.6693,7.9928,-1.1742,0.0997,9.739,0.7101,-0.7268,2.254,-0.3942,-0.1048,0.4675,0.9546,22.58,-0.99,-47.88,268.37,-0.58,6.87,2.0,985.77,59.233,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,34006,2020-04-13 19:18:43:417
-0.7009,-0.5353,11.8721,-0.8054,0.4768,9.7653,-0.9334,0.2252,2.0586,0.2007,-0.0439,-0.4117,0.9546,22.96,-0.25,-49.24,275.0,-1.77,5.66,2.0,985.75,60.373,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,34506,2020-04-13 19:18:43:917
-0.9413,0.7842,10.9259,-1.1041,0.1307,9.7468,0.0712,-0.4699,-2.0948,-0.0769,0.2396,-0.2459,0.9546,23.87,3.71,-47.46,283.37,-1.3,5.0,2.0,985.74,58.68,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,35006,2020-04-13 19:18:44:417
-0.8206,0.9513,7.2122,-1.0427,-0.0589,9.7543,-0.2256,-1.1261,2.5403,0.1803,0.0362,-0.1859,0.9546,21.46,4.17,-47.67,283.2,0.34,6.1,2.0,985.73,56.612,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,35506,2020-04-13 19:18:44:917
-0.681,-1.0281,10.3536,-0.9106,-0.0295,9.7676,-0.4871,0.5234,1.4734,0.0879,-0.0465,-0.2299,0.9546,21.36,5.5,-48.75,283.54,1.3,5.76,2.0,985.73,53.498,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,36011,2020-04-13 19:18:45:422
-1.0028,0.3726,11.2336,-1.1964,0.6862,9.7126,-0.6274,1.5951,-3.0937,-0.2508,-0.2682,-0.3409,0.9546,21.78,5.39,-48.89,294.05,-2.66,6.28,2.0,985.74,61.027,55.753628,48.74192,583.82,NaN,,0.0,46.995,,6 / 26,36506,2020-04-13 19:18:45:917
-0.0662,0.3395,10.098,-0.8208,0.7321,9.7481,-0.2659,0.4701,-0.5509,0.0921,-0.0893,-1.2695,0.9546,14.67,8.48,-50.12,317.64,-4.28,4.81,2.0,985.76,59.793,55.753628,48.74192,583.82,NaN,,0.0,46.995,,4 / 26,37007,2020-04-13 19:18:46:418
0.4385,1.6495,8.2198,-0.9237,0.995,9.7156,-1.3432,-0.6946,1.5016,0.0093,-0.1121,-0.9848,0.9546,7.71,10.14,-51.94,348.74,-5.82,5.43,2.0,985.72,61.234,55.753628,48.74192,583.82,NaN,,0.0,46.995,,4 / 26,37506,2020-04-13 19:18:46:917
-2.0951,-0.913,10.5001,-1.4881,0.9482,9.65,1.1162,1.3223,-0.5794,0.7117,0.0287,-1.2224,0.9546,6.14,9.4,-50.47,8.16,-3.07,8.75,2.0,985.72,57.866,55.753628,48.74192,583.82,NaN,,0.0,46.995,,5 / 26,38006,2020-04-13 19:18:47:417
-2.2824,1.5012,11.3044,-0.9138,1.0944,9.7058,1.2731,-0.8324,-0.401,0.0357,-0.3757,-0.3936,0.9546,0.2,3.15,-51.81,36.97,-6.26,7.16,2.0,985.71,58.231,55.753628,48.74192,583.82,NaN,,0.0,46.995,,5 / 26,38505,2020-04-13 19:18:47:916
0.1598,1.0948,9.2559,-0.613,0.7303,9.7636,-1.017,-0.3353,1.0697,0.1818,0.293,-0.719,0.9546,-7.31,0.61,-53.82,64.36,-4.27,3.59,2.0,985.73,61.273,55.753628,48.74192,583.82,NaN,,0.0,46.995,,5 / 26,39008,2020-04-13 19:18:48:419
-1.6522,-0.3874,8.6741,-1.1341,1.0405,9.6885,-0.0984,0.5983,2.6782,0.2839,0.0617,-0.0236,0.9546,-3.81,-1.61,-53.74,79.24,-4.25,6.69,2.0,985.71,51.26,55.753628,48.74192,583.82,NaN,,0.0,46.995,,5 / 26,39506,2020-04-13 19:18:48:917
